캐릭터 ID,해금 여부,공격력,체력,스피드,캐릭터 속성ui,보유스킬01,보유스킬02,보유스킬03,성장 단계,최대 성장 단계 ,역할군 스트링키,캐릭터 이름 스트링키,캐릭터 별명 스트링키,캐릭터 대사 스트링키,캐릭터 설명 스트링키,스킨 ID,주석
characterID,unlock,attackLevel1,HPLevel1,speed,elementUI,ownedSkill01,ownedSkill02,ownedSkill03,level,maxLevel,position,characterName,characterCodeName,characterDialogue,characterInfo,characterSkin,desc
string,bool,float,float,int,enum,string,string,string,int,enum,enum,string,string,string,string,string,string
10001,0,110,1000,5,0,11001,11002,11003,0,2,0,유지윤,블레이즈,풀스윙으로 날려줄게! 타버려!,불꽃을 다루는 것 자체를 신기해하며 전장의 긴장감보다는 자신이 가진 힘으로 누군가를 돕는다는 사실에 기쁨을 느낀다. 활기차고 당당한 목소리가 특징이다.,40001,블레이즈
10002,1,100,950,6,1,11004,11005,11006,0,2,0,신하영,마린,,character_desc_10002,40003,마린
10003,1,120,650,12,2,11007,11008,11009,0,2,0,김유진,라이더,character_log_10003,character_desc_10003,40005,라이더
10004,1,105,800,7,0,11010,11011,11012,0,2,1,유봄,셰프,character_log_10004,character_log_10002,40007,셰프
10005,0,90,800,5,1,11013,11014,11015,0,2,1,여현아,닥터 린,character_log_10005,character_desc_10005,40009,닥터 린
10006,1,95,800,8,2,11016,11017,11018,0,2,1,황수민,테이저,character_log_10006,character_desc_10006,40011,테이저
10007,1,130,750,6,0,11019,11020,11021,0,2,2,조민기,아리아,character_log_10007,character_desc_10007,40013,아리아
10008,1,85,750,9,1,11022,11023,11024,0,2,2,김연우,레이니,character_log_10008,character_desc_10008,40015,레이니
10009,0,115,750,5,2,11025,11026,11027,0,2,2,김현지,코드,character_log_10009,character_desc_10009,40017,코드
