학년 ID,캐릭터 ID,공격력 상승량,체력 상승량,실링 요구량,학년 정보,스킨 변경,주석
gradeID,characterID,attackUP,hpUP,needShilling1,gradeInfo,changeSkin,desc
string,string,int,int,int,string,string,string
50001,10001,30,400,1200,전투가 더 이상 놀이가 아니라는 것을 깨달은 상태야. 1학년 때의 밝은 웃음기보다는 진지한 몰입감이 느껴진다. 불꽃의 크기는 1학년 때보다 훨씬 거대해졌고 배트를 휘두르는 동작 하나하나에 파괴력이 실려 있다. 가끔 능력이 폭주할 것 같은 불안함을 느끼면서도 멈추지 않는 투지를 보여준다.,,블레이즈 2학년
50002,10001,70,1000,3500,밤의 도시와 기계 공장의 차가운 분위기 속에서도 꺼지지 않는 불꽃을 상징한다. 눈빛은 날카롭게 변했고 불꽃은 단순한 화염을 넘어 모든 장갑을 녹여버리는 고열의 에너지로 압축되어 있다.,40002,블레이즈 3학년
50003,10002,40,300,1100,grade_desc_50003,,마린 2학년
50004,10002,80,800,3200,grade_desc_50004,40004,마린 3학년
50005,10003,60,200,1500,grade_desc_50005,,라이더 2학년
50006,10003,150,500,4500,grade_desc_50006,40006,라이더 3학년
50007,10004,35,250,1000,grade_desc_50007,,셰프 2학년
50008,10004,75,650,2800,grade_desc_50008,40008,셰프 3학년
50009,10005,20,500,1100,grade_desc_50009,,닥터 린 2학년
50010,10005,50,1200,3000,grade_desc_50010,40010,닥터 린 3학년
50011,10006,45,250,1300,grade_desc_50011,,테이저 2학년
50012,10006,100,600,3500,grade_desc_50012,40012,테이저 3학년
50013,10007,80,150,1800,grade_desc_50013,,아리아 2학년
50014,10007,200,400,5000,grade_desc_50014,40014,아리아 3학년
50015,10008,30,300,900,grade_desc_50015,,레이니 2학년
50016,10008,60,800,2500,grade_desc_50016,40016,레이니 3학년
50017,10009,50,200,1400,grade_desc_50017,,코드 2학년
50018,10009,120,550,4000,grade_desc_50018,40018,코드 3학년
