스킬 ID,스킬 기본 수치,시전 진영,스킬 계수,스킬 타입 ,지속 턴,스킬 원소 속성 ,스킬 PP,스킬 공격위치,스킬 이름 스트링키,스킬 툴팁 스트링키,스킬 사운드,스킬 아이콘,스킬 스프라이트,주석
skillID,skillBaseValue,targetFaction,skillFactor,skillType,buffTurn,skillElement,skillPP,skillArea,skillName,skillTooltip,skillSound,skillIcon,skillEffect,desc
string,int,boolean,float,enum,int,enum,int,enum,string,string,string,string,string,string
30001,50,1,1.1,0,0,2,15,0,화염 가시,뜨거운 화염의 가시를 솟구치게 하여 적에게 화염 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,화염 가시
30002,50,1,1,0,0,1,15,1,산성 점막,부식성 점액을 발사하여 적에게 지속적인 피해를 줍니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,산성 점막
30003,50,1,0.9,0,0,0,15,2,마비 전격,강력한 고압 전류를 방출하여 적을 공격하고 일시적으로 마비시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,마비 전격
30004,50,0,0.4,1,0,3,10,0,생체 재생,신체의 세포를 급속도로 활성화하여 잃은 체력을 일정량 회복합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,생체 재생
30005,50,1,0.7,0,0,1,10,6,독기 확산,주변에 치명적인 독기를 퍼뜨려 적의 공격 능력을 약화시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,독기 확산
30006,50,1,0,6,2,1,10,0,끈적한 늪,지면을 끈적한 상태로 만들어 범위 내 적들의 이동 속도를 크게 저하시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,끈적한 늪
30007,50,1,1.4,0,0,1,8,0,산성 폭발,산성 물질을 강하게 폭발시켜 주변 적들에게 광역 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,산성 폭발
30008,50,0,0,4,3,3,10,6,신속 포자,내부 동력을 최적화하여 자신의 이동 및 행동 속도를 일시적으로 높입니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,신속 포자
30009,50,0,0.4,2,2,3,12,0,점막 보호,현란한 빛으로 적의 시야를 교란하여 적의 속도를 늦춥니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,점막 보호
